,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
10205,11.0,82,6.5,55.0,overcast,1010.42,0,Spring,3.0,inland,Rainy
10073,36.0,104,26.5,87.0,overcast,1004.17,1,Autumn,2.0,coastal,Rainy
6018,10.0,57,10.0,46.0,overcast,1017.14,2,Winter,8.5,inland,Cloudy
12597,28.0,87,18.0,90.0,partly cloudy,995.48,3,Summer,1.5,inland,Rainy
4174,28.0,30,2.0,18.0,clear,1021.19,10,Autumn,7.5,coastal,Sunny
11265,15.0,66,5.0,85.0,cloudy,829.98,0,Autumn,4.5,inland,Snowy
10822,-7.0,87,11.5,68.0,partly cloudy,983.25,1,Winter,2.5,inland,Snowy
4066,15.0,76,8.5,79.0,overcast,995.52,1,Autumn,3.5,coastal,Rainy
584,6.0,76,2.5,64.0,partly cloudy,1000.66,6,Spring,0.0,inland,Snowy
11574,19.0,77,5.0,59.0,overcast,995.38,2,Summer,3.0,inland,Rainy
11871,29.0,74,6.5,99.0,partly cloudy,992.39,2,Summer,5.0,coastal,Rainy
8897,-3.0,96,3.5,93.0,overcast,999.23,0,Winter,4.5,inland,Snowy
4856,26.0,71,14.0,17.0,partly cloudy,1002.67,3,Autumn,8.0,inland,Cloudy
8392,11.0,61,20.0,94.0,overcast,1006.34,3,Winter,1.5,inland,Rainy
4945,-20.0,28,11.0,77.0,cloudy,883.37,13,Spring,12.5,coastal,Rainy
170,33.0,88,19.0,98.0,overcast,998.8,2,Autumn,3.0,mountain,Rainy
2449,29.0,70,5.5,45.0,partly cloudy,1008.96,2,Winter,8.0,inland,Cloudy
6480,22.0,56,8.0,17.0,clear,1024.09,11,Spring,7.0,coastal,Sunny
889,16.0,67,9.0,16.0,overcast,1007.01,1,Winter,7.5,mountain,Cloudy
1769,32.0,40,3.0,29.0,partly cloudy,1035.69,9,Summer,8.0,mountain,Snowy
4690,30.0,64,17.5,90.0,overcast,1015.85,1,Spring,1.5,inland,Rainy
7061,3.0,72,3.0,98.0,overcast,992.97,1,Winter,2.0,inland,Snowy
5679,24.0,92,8.5,52.0,overcast,998.62,3,Spring,3.5,inland,Rainy
9879,43.0,31,5.5,8.0,partly cloudy,1023.36,8,Summer,5.5,mountain,Sunny
4352,22.0,53,5.0,19.0,overcast,1014.57,1,Spring,6.0,coastal,Cloudy
3108,32.0,63,2.0,12.0,clear,1021.42,9,Winter,7.0,mountain,Sunny
1235,16.0,71,19.0,70.0,overcast,1008.4,2,Summer,2.5,mountain,Rainy
7021,32.0,68,9.0,28.0,partly cloudy,1006.39,1,Spring,9.0,inland,Cloudy
9322,21.0,27,3.0,5.0,clear,1011.02,10,Summer,7.5,coastal,Sunny
6952,30.0,69,15.5,91.0,overcast,1005.42,2,Winter,2.0,coastal,Rainy
11025,20.0,69,5.0,23.0,overcast,1009.27,2,Spring,7.0,inland,Cloudy
4972,12.0,82,1.0,75.0,partly cloudy,1016.91,14,Summer,9.0,inland,Cloudy
11339,42.0,57,5.0,1.0,clear,1019.2,9,Spring,7.0,mountain,Sunny
12374,-6.0,87,18.0,90.0,partly cloudy,994.71,0,Winter,3.5,inland,Snowy
12157,13.0,68,7.0,10.0,overcast,1013.89,3,Spring,5.5,inland,Cloudy
6740,32.0,56,12.5,28.0,partly cloudy,1002.97,1,Summer,7.5,coastal,Cloudy
4225,31.0,75,7.5,83.0,overcast,1003.4,1,Autumn,3.0,mountain,Rainy
6932,20.0,22,4.5,18.0,partly cloudy,1014.29,10,Summer,8.5,inland,Sunny
6556,4.0,99,8.0,79.0,overcast,999.79,0,Winter,5.0,inland,Snowy
5009,16.0,97,25.5,91.0,partly cloudy,1014.79,5,Winter,9.5,coastal,Cloudy
1733,30.0,61,14.0,67.0,partly cloudy,1002.87,0,Summer,4.5,coastal,Rainy
8248,38.0,28,4.5,0.0,clear,1010.21,5,Autumn,5.5,inland,Sunny
6393,47.0,103,33.0,106.0,overcast,1005.94,12,Summer,7.0,mountain,Rainy
11787,29.0,56,6.5,4.0,clear,1026.53,7,Summer,7.0,mountain,Sunny
1346,25.0,23,4.5,13.0,clear,1014.45,11,Summer,6.5,inland,Sunny
6670,32.0,63,4.0,18.0,clear,1014.64,5,Spring,6.0,coastal,Sunny
8446,16.0,83,8.0,95.0,overcast,1012.67,0,Winter,5.0,coastal,Rainy
2584,-6.0,95,27.5,95.0,overcast,983.31,2,Winter,0.5,inland,Snowy
1337,20.0,23,9.5,58.0,partly cloudy,997.17,0,Winter,3.0,coastal,Snowy
478,22.0,47,2.5,1.0,clear,1025.67,7,Autumn,8.5,mountain,Sunny
3692,32.0,25,4.0,12.0,partly cloudy,1018.9,6,Spring,9.0,coastal,Sunny
5914,26.0,96,15.5,89.0,partly cloudy,996.26,2,Spring,4.5,coastal,Rainy
5193,-9.0,85,17.5,83.0,overcast,998.83,1,Winter,3.0,inland,Snowy
7717,-4.0,97,2.0,79.0,overcast,998.83,6,Winter,1.5,mountain,Snowy
11268,-8.0,79,8.5,72.0,overcast,988.66,1,Winter,1.0,inland,Snowy
11834,18.0,64,1.5,24.0,cloudy,1166.92,2,Winter,1.5,mountain,Snowy
6575,13.0,73,13.5,44.0,overcast,1013.0,1,Winter,8.0,inland,Cloudy
8020,0.0,69,4.0,86.0,overcast,989.23,1,Winter,1.5,inland,Snowy
10459,26.0,63,5.5,17.0,partly cloudy,1008.04,4,Summer,6.5,inland,Cloudy
11907,63.0,71,20.0,73.0,clear,1019.71,4,Autumn,7.0,inland,Sunny
7241,18.0,75,13.5,106.0,overcast,1006.87,14,Winter,5.0,coastal,Rainy
9433,33.0,61,10.0,84.0,overcast,1001.53,0,Winter,4.0,inland,Rainy
5669,16.0,71,3.0,104.0,partly cloudy,1009.56,9,Spring,5.5,coastal,Cloudy
4966,-15.0,102,30.0,73.0,overcast,980.17,11,Winter,3.0,inland,Snowy
10340,53.0,108,20.0,96.0,clear,1012.64,2,Autumn,1.5,inland,Sunny
12874,36.0,87,16.0,93.0,clear,1016.0,2,Spring,1.5,coastal,Sunny
3944,20.0,38,7.0,4.0,clear,1027.98,8,Winter,8.5,mountain,Sunny
190,38.0,21,0.0,14.0,cloudy,960.81,2,Autumn,6.0,mountain,Snowy
10488,38.0,73,8.0,81.0,partly cloudy,1007.17,14,Winter,1.0,mountain,Cloudy
3849,-6.0,65,7.5,62.0,overcast,997.59,0,Winter,1.5,mountain,Snowy
3329,22.0,78,6.5,46.0,partly cloudy,1017.49,3,Spring,7.0,inland,Cloudy
4229,43.0,25,4.5,12.0,clear,1021.52,8,Autumn,9.0,mountain,Sunny
2734,28.0,54,9.5,1.0,clear,1024.68,8,Winter,9.0,mountain,Sunny
391,23.0,25,10.0,15.0,clear,1016.92,7,Spring,8.5,mountain,Sunny
11976,33.0,46,9.5,5.0,partly cloudy,1019.1,8,Spring,7.0,inland,Sunny
4398,23.0,94,17.0,79.0,partly cloudy,1008.79,13,Autumn,9.5,inland,Cloudy
10485,12.0,60,11.0,63.0,overcast,1009.03,1,Spring,4.5,coastal,Rainy
3492,27.0,53,2.0,8.0,partly cloudy,1028.55,7,Spring,9.5,inland,Sunny
6621,20.0,76,13.5,70.0,overcast,990.58,0,Summer,4.5,inland,Rainy
8160,33.0,64,12.0,75.0,partly cloudy,1019.16,1,Summer,3.5,mountain,Rainy
3976,38.0,60,4.5,8.0,partly cloudy,1013.67,9,Spring,8.0,inland,Sunny
12700,17.0,67,10.5,77.0,overcast,991.22,0,Autumn,4.5,inland,Rainy
7984,-9.0,95,12.0,98.0,overcast,998.66,1,Winter,3.0,inland,Snowy
8993,0.0,88,6.0,95.0,overcast,982.15,1,Winter,2.0,mountain,Snowy
3620,22.0,76,17.5,86.0,overcast,990.3,1,Summer,4.0,coastal,Rainy
11636,-5.0,60,17.0,51.0,partly cloudy,985.52,1,Winter,4.0,inland,Snowy
3174,11.0,64,7.5,58.0,partly cloudy,984.15,0,Winter,0.5,inland,Sunny
2016,-5.0,62,15.0,81.0,overcast,997.01,0,Winter,4.0,mountain,Snowy
1477,18.0,94,18.5,67.0,overcast,1019.23,3,Spring,2.5,coastal,Rainy
4707,22.0,71,10.5,35.0,partly cloudy,1013.12,1,Spring,8.5,inland,Cloudy
4448,4.0,63,0.5,89.0,partly cloudy,994.26,1,Winter,4.5,inland,Snowy
5426,-2.0,68,10.0,93.0,overcast,985.51,1,Winter,3.0,mountain,Snowy
9893,39.0,88,19.5,85.0,clear,1018.33,5,Summer,6.5,coastal,Sunny
2609,44.0,76,12.0,84.0,clear,1026.18,9,Autumn,9.5,coastal,Sunny
10627,36.0,47,7.5,24.0,partly cloudy,1016.26,4,Autumn,3.5,mountain,Snowy
7089,42.0,28,4.0,16.0,partly cloudy,1019.22,6,Summer,6.5,inland,Sunny
10112,34.0,66,3.5,12.0,clear,1010.56,6,Spring,5.5,mountain,Sunny
2823,11.0,67,7.0,22.0,overcast,1003.46,1,Autumn,9.0,coastal,Cloudy
1205,-15.0,79,14.5,28.0,overcast,1181.13,11,Spring,0.5,coastal,Cloudy
9918,12.0,61,11.5,38.0,overcast,1014.37,1,Spring,8.5,mountain,Cloudy
1717,23.0,95,23.5,83.0,partly cloudy,1003.38,7,Summer,6.5,inland,Cloudy
11795,29.0,64,12.5,81.0,partly cloudy,1005.58,0,Spring,3.0,coastal,Rainy
8097,42.0,57,0.0,0.0,clear,1023.56,8,Spring,5.5,inland,Sunny
4717,36.0,66,8.5,8.0,partly cloudy,1012.07,10,Autumn,7.0,inland,Sunny
4359,16.0,75,1.5,19.0,partly cloudy,1007.12,2,Summer,5.5,inland,Cloudy
2286,2.0,77,4.5,75.0,partly cloudy,986.27,0,Winter,3.5,mountain,Snowy
5962,-2.0,77,3.0,89.0,overcast,993.83,1,Winter,3.0,mountain,Snowy
5228,23.0,36,4.5,19.0,clear,1016.75,11,Summer,7.0,coastal,Sunny
2992,24.0,52,7.0,6.0,clear,1025.06,7,Summer,6.0,coastal,Sunny
12790,19.0,84,7.0,78.0,overcast,1018.65,0,Summer,1.0,inland,Rainy
11558,17.0,68,18.0,82.0,overcast,1009.65,0,Autumn,3.0,inland,Rainy
5581,12.0,79,17.5,99.0,overcast,1006.53,1,Spring,1.5,coastal,Rainy
1566,21.0,60,17.5,62.0,partly cloudy,1010.93,0,Spring,3.5,mountain,Rainy
901,25.0,23,0.5,1.0,clear,1026.46,10,Summer,7.0,coastal,Sunny
9198,-6.0,75,2.0,69.0,overcast,995.31,0,Winter,1.0,mountain,Snowy
3017,30.0,87,10.5,85.0,partly cloudy,1013.72,0,Winter,2.5,mountain,Rainy
3285,13.0,52,8.5,35.0,partly cloudy,1007.99,1,Winter,7.5,mountain,Cloudy
11521,31.0,68,3.5,5.0,partly cloudy,1013.62,8,Autumn,6.0,mountain,Sunny
9396,12.0,78,8.5,83.0,overcast,1010.53,1,Summer,4.5,coastal,Rainy
5304,12.0,65,9.0,70.0,partly cloudy,1000.52,0,Summer,2.5,coastal,Rainy
10592,33.0,58,0.5,7.0,clear,1010.95,6,Autumn,6.0,coastal,Sunny
9887,-4.0,81,1.5,53.0,overcast,991.79,0,Winter,1.5,inland,Snowy
1659,10.0,92,5.0,56.0,overcast,1006.85,2,Autumn,1.5,inland,Rainy
3928,29.0,76,11.0,44.0,overcast,1017.03,2,Winter,6.5,mountain,Cloudy
12126,34.0,62,5.0,5.0,partly cloudy,1018.17,8,Autumn,5.0,inland,Sunny
5400,13.0,54,3.0,20.0,partly cloudy,1015.07,4,Autumn,7.0,coastal,Cloudy
4913,32.0,80,15.5,96.0,overcast,1003.58,0,Autumn,1.5,mountain,Rainy
5011,-6.0,76,10.5,74.0,cloudy,1125.2,7,Summer,5.0,coastal,Sunny
2478,10.0,79,16.0,83.0,overcast,992.81,1,Autumn,5.0,coastal,Rainy
9315,22.0,30,3.5,14.0,clear,1013.31,10,Autumn,7.5,inland,Sunny
6036,-20.0,61,12.5,65.0,partly cloudy,1073.24,11,Spring,3.0,mountain,Sunny
7884,1.0,68,8.0,54.0,overcast,996.42,0,Winter,1.0,mountain,Snowy
4677,12.0,70,7.0,31.0,overcast,1019.02,2,Autumn,6.5,coastal,Cloudy
11728,38.0,57,8.0,19.0,clear,1012.78,11,Autumn,6.0,inland,Sunny
8163,-4.0,74,7.0,63.0,overcast,989.74,0,Winter,2.0,inland,Snowy
5288,-1.0,95,17.5,70.0,partly cloudy,987.64,0,Winter,3.0,inland,Snowy
11699,1.0,72,5.5,55.0,overcast,991.05,1,Winter,2.5,inland,Snowy
7361,34.0,77,18.5,98.0,partly cloudy,1006.36,1,Winter,4.5,inland,Rainy
8095,13.0,90,17.0,77.0,overcast,995.15,2,Summer,4.5,mountain,Rainy
9870,48.0,94,14.5,90.0,partly cloudy,1013.84,0,Spring,3.0,inland,Cloudy
8836,32.0,65,5.0,60.0,overcast,1184.26,8,Spring,0.5,coastal,Rainy
7559,0.0,60,1.0,71.0,partly cloudy,994.29,0,Winter,3.0,inland,Snowy
7508,19.0,71,13.0,73.0,overcast,998.55,2,Summer,1.0,inland,Rainy
9401,28.0,64,2.5,17.0,partly cloudy,1013.27,1,Autumn,6.0,inland,Cloudy
2821,17.0,66,18.5,98.0,overcast,1013.12,1,Spring,4.0,coastal,Rainy
1611,-1.0,61,0.0,73.0,overcast,985.88,0,Winter,2.0,mountain,Snowy
12645,-8.0,75,13.5,81.0,overcast,999.39,1,Winter,4.0,inland,Snowy
4076,31.0,89,19.0,72.0,overcast,1000.47,1,Summer,1.5,mountain,Rainy
1670,21.0,60,2.5,2.0,clear,1018.96,10,Spring,6.5,inland,Sunny
10445,5.0,56,2.0,54.0,cloudy,1132.46,6,Autumn,2.5,inland,Sunny
2472,12.0,64,1.5,21.0,overcast,1008.37,4,Spring,5.5,coastal,Cloudy
10977,-5.0,86,8.5,80.0,overcast,987.56,1,Winter,4.5,inland,Snowy
10481,24.0,31,0.5,11.0,partly cloudy,1014.4,9,Winter,8.5,coastal,Sunny
5314,32.0,71,14.0,35.0,overcast,1009.56,3,Summer,6.0,mountain,Cloudy
7308,-1.0,98,8.5,75.0,overcast,981.52,0,Winter,3.0,mountain,Snowy
566,28.0,66,1.5,8.0,clear,1028.57,6,Winter,8.0,coastal,Sunny
11653,41.0,39,0.5,14.0,clear,1021.44,8,Summer,8.0,mountain,Sunny
6445,-8.0,87,20.0,84.0,overcast,996.86,1,Winter,3.5,mountain,Snowy
1819,1.0,85,25.5,97.0,overcast,994.18,9,Winter,3.5,mountain,Snowy
182,-7.0,70,8.5,62.0,overcast,993.19,1,Winter,2.0,mountain,Snowy
3651,-1.0,96,21.5,91.0,overcast,988.78,1,Winter,1.0,mountain,Snowy
5795,25.0,59,3.5,22.0,overcast,1010.7,2,Winter,8.0,mountain,Cloudy
1757,72.0,77,18.5,105.0,clear,1029.1,2,Winter,10.5,mountain,Sunny
11873,-2.0,96,1.0,91.0,overcast,990.89,0,Winter,3.5,mountain,Snowy
12570,15.0,68,3.5,57.0,overcast,1049.56,9,Summer,18.0,mountain,Sunny
8268,59.0,87,7.0,80.0,partly cloudy,1026.08,1,Autumn,7.5,inland,Sunny
4092,4.0,66,12.0,81.0,overcast,990.95,1,Winter,3.5,mountain,Snowy
4863,44.0,29,8.0,0.0,clear,1015.79,11,Summer,6.5,coastal,Sunny
994,1.0,88,1.0,85.0,overcast,986.06,0,Winter,2.0,inland,Snowy
3658,15.0,59,15.0,17.0,overcast,1004.33,2,Summer,7.5,mountain,Cloudy
2980,43.0,69,3.0,17.0,partly cloudy,1018.13,10,Spring,7.0,coastal,Sunny
5239,31.0,77,16.0,90.0,overcast,998.94,0,Winter,4.0,inland,Rainy
2836,10.0,73,17.5,66.0,overcast,1009.7,0,Autumn,4.0,mountain,Rainy
9092,15.0,64,17.0,96.0,overcast,1009.87,3,Summer,3.0,mountain,Rainy
6634,21.0,89,15.0,54.0,partly cloudy,995.68,0,Autumn,2.5,inland,Rainy
277,34.0,31,9.5,9.0,clear,1024.74,10,Spring,5.5,inland,Sunny
6268,-10.0,60,19.5,60.0,overcast,991.57,1,Winter,3.0,inland,Snowy
7738,44.0,63,8.5,14.0,clear,1016.61,7,Winter,5.5,coastal,Sunny
4786,26.0,58,9.0,32.0,partly cloudy,1000.51,3,Winter,8.0,inland,Cloudy
8027,30.0,65,3.5,0.0,clear,1022.13,10,Winter,8.5,coastal,Sunny
4523,23.0,74,7.0,26.0,overcast,1007.61,4,Summer,6.5,mountain,Cloudy
8322,-8.0,109,6.5,80.0,overcast,990.07,14,Winter,2.0,mountain,Snowy
4160,36.0,57,5.5,18.0,clear,1025.66,11,Summer,7.0,mountain,Sunny
